base_name_en;rank;condition_en;item_en;stack;percentage
Gran Jagras;LR;Investigación (Oro);Great Escama de Jagras;3;14.0
Gran Jagras;HR;Quitar;Great Escama de Jagras+;1;100.0
Gran Jagras;HR;Cotado / Captura;Great Escama de Jagras+;1;36.0
Gran Jagras;HR;Cotado / Captura;Great Piel de Jagras+;1;28.0
Gran Jagras;HR;Cotado / Captura;Garra de Gran Jagras+;1;21.0
Gran Jagras;HR;Cotado / Captura;Melena de Gran Jagras;1;15.0
Gran Jagras;HR;Romper: Cabeza;Melena de Gran Jagras;2;63.0
Gran Jagras;HR;Romper: Cabeza;Great Piel de Jagras+;2;37.0
Gran Jagras;HR;Romper: Pata delantera;Garra de Gran Jagras+;1;100.0
Gran Jagras;HR;Romper: Estomago;Great Piel de Jagras+;2;100.0
Gran Jagras;HR;Destello brillante;Great Escama de Jagras+;1;50.0
Gran Jagras;HR;Destello brillante;Garra de Gran Jagras+;1;28.0
Gran Jagras;HR;Destello brillante;Lágrima de wyvern;1;22.0
Gran Jagras;HR;Camarada;Great Escama de Jagras+;1;50.0
Gran Jagras;HR;Camarada;Garra de Gran Jagras+;1;28.0
Gran Jagras;HR;Camarada;Lágrima de wyvern;1;22.0
Gran Jagras;HR;Cortabolsas;Great Escama de Jagras+;1;43.0
Gran Jagras;HR;Cortabolsas;Great Piel de Jagras+;1;35.0
Gran Jagras;HR;Cortabolsas;Melena de Gran Jagras;1;22.0
Gran Jagras;HR;Manto de bandido ;Escama grande;1;70.0
Gran Jagras;HR;Manto de bandido ;Escama bonita;1;30.0
Gran Jagras;HR;Investigación (Bronce);Great Piel de Jagras+;1;32.0
Gran Jagras;HR;Investigación (Bronce);Great Escama de Jagras+;1;23.0
Gran Jagras;HR;Investigación (Bronce);Hueso de monstruo+;1;20.0
Gran Jagras;HR;Investigación (Bronce);Melena de Gran Jagras;2;16.0
Gran Jagras;HR;Investigación (Bronce);Garra de Gran Jagras+;1;9.0
Gran Jagras;HR;Investigación (Plata);Garra de Gran Jagras+;1;40.0
Gran Jagras;HR;Investigación (Plata);Great Piel de Jagras+;2;25.0
Gran Jagras;HR;Investigación (Plata);Great Escama de Jagras+;2;20.0
Gran Jagras;HR;Investigación (Plata);Melena de Gran Jagras;2;15.0
Gran Jagras;HR;Investigación (Oro);Garra de Gran Jagras+;1;64.0
Gran Jagras;HR;Investigación (Oro);Great Piel de Jagras+;3;14.0
Gran Jagras;HR;Investigación (Oro);Melena de Gran Jagras;3;12.0
Gran Jagras;HR;Investigación (Oro);Great Escama de Jagras+;3;10.0
Gran Jagras;MR;Quitar;Esquirla de Gran Jagras;1;100.0
Gran Jagras;MR;Cotado / Captura;Esquirla de Gran Jagras;1;36.0
Gran Jagras;MR;Cotado / Captura;Piel gruesa de Gran Jagras;1;28.0
Gran Jagras;MR;Cotado / Captura;Garra dura de Gran Jagras;1;21.0
Gran Jagras;MR;Cotado / Captura;Melena de Gran Jagras+;1;15.0
Gran Jagras;MR;Romper: Cabeza;Melena de Gran Jagras+;1;100.0
Gran Jagras;MR;Romper: Pata delantera;Garra dura de Gran Jagras;1;100.0
Gran Jagras;MR;Romper: Estomago;Piel gruesa de Gran Jagras;2;100.0
Gran Jagras;MR;Destello brillante;Esquirla de Gran Jagras;1;50.0
Gran Jagras;MR;Destello brillante;Garra dura de Gran Jagras;1;28.0
Gran Jagras;MR;Destello brillante;Lágrima de wyvern G;1;22.0
Gran Jagras;MR;Camarada;Esquirla de Gran Jagras;1;50.0
Gran Jagras;MR;Camarada;Garra dura de Gran Jagras;1;28.0
Gran Jagras;MR;Camarada;Lágrima de wyvern G;1;22.0
Gran Jagras;MR;Cortabolsas;Esquirla de Gran Jagras;1;43.0
Gran Jagras;MR;Cortabolsas;Piel gruesa de Gran Jagras;1;35.0
Gran Jagras;MR;Cortabolsas;Melena de Gran Jagras+;1;22.0
Gran Jagras;MR;Manto de bandido ;Escama bonita;1;70.0
Gran Jagras;MR;Manto de bandido ;Escama lustrosa;1;30.0
Gran Jagras;MR;Investigación (Bronce);Piel gruesa de Gran Jagras;1;32.0
Gran Jagras;MR;Investigación (Bronce);Esquirla de Gran Jagras;1;23.0
Gran Jagras;MR;Investigación (Bronce);Hueso ultraduro;1;20.0
Gran Jagras;MR;Investigación (Bronce);Melena de Gran Jagras+;1;16.0
Gran Jagras;MR;Investigación (Bronce);Garra dura de Gran Jagras;1;9.0
Gran Jagras;MR;Investigación (Plata);Melena de Gran Jagras+;1;30.0
Gran Jagras;MR;Investigación (Plata);Piel gruesa de Gran Jagras;2;25.0
Gran Jagras;MR;Investigación (Plata);Garra dura de Gran Jagras;1;25.0
Gran Jagras;MR;Investigación (Plata);Esquirla de Gran Jagras;2;20.0
Gran Jagras;MR;Investigación (Oro);Melena de Gran Jagras+;1;40.0
Gran Jagras;MR;Investigación (Oro);Garra dura de Gran Jagras;1;30.0
Gran Jagras;MR;Investigación (Oro);Piel gruesa de Gran Jagras;3;16.0
Gran Jagras;MR;Investigación (Oro);Esquirla de Gran Jagras;3;14.0
Gran Jagras;MR;Tierras del destino (Bajo);Hueso de dracovena feroz;1;63.0
Gran Jagras;MR;Tierras del destino (Bajo);Crin áspera;1;37.0
Gran Jagras;MR;Tierras del destino (Medio);Crin áspera;1;63.0
Gran Jagras;MR;Tierras del destino (Medio);Hueso de dracovena feroz;1;37.0
Gran Jagras;MR;Tierras del destino (Alto);Crin áspera;1;100.0
Gran Jagras;MR;Tierras del destino (Curtido);Crin áspera;1;100.0
Kulu-Ya-Ku;LR;Quitar;Escama de Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;LR;Cotado / Captura;Escama de Kulu-Ya-Ku;1;36.0
Kulu-Ya-Ku;LR;Cotado / Captura;Piel de Kulu-Ya-Ku;1;28.0
Kulu-Ya-Ku;LR;Cotado / Captura;Pico de Kulu-Ya-Ku;1;21.0
Kulu-Ya-Ku;LR;Cotado / Captura;Pluma de Kulu-Ya-Ku;1;15.0
Kulu-Ya-Ku;LR;Romper: Cabeza;Pico de Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;LR;Romper: Pata delantera;Pluma de Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;LR;Destello brillante;Escama de Kulu-Ya-Ku;1;50.0
Kulu-Ya-Ku;LR;Destello brillante;Pluma de Kulu-Ya-Ku;1;28.0
Kulu-Ya-Ku;LR;Destello brillante;Lágrima de wyvern;1;22.0
Kulu-Ya-Ku;LR;Camarada;Escama de Kulu-Ya-Ku;1;50.0
Kulu-Ya-Ku;LR;Camarada;Pluma de Kulu-Ya-Ku;1;28.0
Kulu-Ya-Ku;LR;Camarada;Lágrima de wyvern;1;22.0
Kulu-Ya-Ku;LR;Cortabolsas;Escama de Kulu-Ya-Ku;1;43.0
Kulu-Ya-Ku;LR;Cortabolsas;Piel de Kulu-Ya-Ku;1;35.0
Kulu-Ya-Ku;LR;Cortabolsas;Pluma de Kulu-Ya-Ku;1;22.0
Kulu-Ya-Ku;LR;Manto de bandido ;Escama astillada;1;70.0
Kulu-Ya-Ku;LR;Manto de bandido ;Escama grande;1;30.0
Kulu-Ya-Ku;LR;Investigación (Bronce);Piel de Kulu-Ya-Ku;1;32.0
Kulu-Ya-Ku;LR;Investigación (Bronce);Escama de Kulu-Ya-Ku;1;23.0
Kulu-Ya-Ku;LR;Investigación (Bronce);Hueso monstruo pequeño;1;20.0
Kulu-Ya-Ku;LR;Investigación (Bronce);Pluma de Kulu-Ya-Ku;1;16.0
Kulu-Ya-Ku;LR;Investigación (Bronce);Pico de Kulu-Ya-Ku;1;9.0
Kulu-Ya-Ku;LR;Investigación (Plata);Pluma de Kulu-Ya-Ku;1;30.0
Kulu-Ya-Ku;LR;Investigación (Plata);Piel de Kulu-Ya-Ku;2;25.0
Kulu-Ya-Ku;LR;Investigación (Plata);Pico de Kulu-Ya-Ku;1;25.0
Kulu-Ya-Ku;LR;Investigación (Plata);Escama de Kulu-Ya-Ku;2;20.0
Kulu-Ya-Ku;LR;Investigación (Oro);Pluma de Kulu-Ya-Ku;1;40.0
Kulu-Ya-Ku;LR;Investigación (Oro);Pico de Kulu-Ya-Ku;1;30.0
Kulu-Ya-Ku;LR;Investigación (Oro);Piel de Kulu-Ya-Ku;3;16.0
Kulu-Ya-Ku;LR;Investigación (Oro);Escama de Kulu-Ya-Ku;3;14.0
Kulu-Ya-Ku;HR;Quitar;Escama de Kulu-Ya-Ku+;1;100.0
Kulu-Ya-Ku;HR;Cotado / Captura;Escama de Kulu-Ya-Ku+;1;34.0
Kulu-Ya-Ku;HR;Cotado / Captura;Piel de Kulu-Ya-Ku+;1;27.0
Kulu-Ya-Ku;HR;Cotado / Captura;Pico de Kulu-Ya-Ku+;1;20.0
Kulu-Ya-Ku;HR;Cotado / Captura;Pluma de Kulu-Ya-Ku+;1;14.0
Kulu-Ya-Ku;HR;Cotado / Captura;Gema wyvern pájaro;1;5.0
Kulu-Ya-Ku;HR;Romper: Cabeza;Pico de Kulu-Ya-Ku+;1;100.0
Kulu-Ya-Ku;HR;Romper: Pata delantera;Pluma de Kulu-Ya-Ku+;1;100.0
Kulu-Ya-Ku;HR;Destello brillante;Escama de Kulu-Ya-Ku+;1;50.0
Kulu-Ya-Ku;HR;Destello brillante;Pluma de Kulu-Ya-Ku+;1;28.0
Kulu-Ya-Ku;HR;Destello brillante;Lágrima de wyvern;1;22.0
Kulu-Ya-Ku;HR;Camarada;Escama de Kulu-Ya-Ku+;1;50.0
Kulu-Ya-Ku;HR;Camarada;Pluma de Kulu-Ya-Ku+;1;28.0
Kulu-Ya-Ku;HR;Camarada;Lágrima de wyvern;1;22.0
Kulu-Ya-Ku;HR;Cortabolsas;Escama de Kulu-Ya-Ku+;1;43.0
Kulu-Ya-Ku;HR;Cortabolsas;Piel de Kulu-Ya-Ku+;1;33.0
Kulu-Ya-Ku;HR;Cortabolsas;Pluma de Kulu-Ya-Ku;1;22.0
Kulu-Ya-Ku;HR;Cortabolsas;Gema wyvern pájaro;1;2.0
Kulu-Ya-Ku;HR;Manto de bandido ;Escama grande;1;70.0
Kulu-Ya-Ku;HR;Manto de bandido ;Escama bonita;1;30.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Piel de Kulu-Ya-Ku+;1;32.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Escama de Kulu-Ya-Ku+;1;21.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Hueso de monstruo+;1;18.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Pluma de Kulu-Ya-Ku+;1;15.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Pico de Kulu-Ya-Ku+;1;11.0
Kulu-Ya-Ku;HR;Investigación (Bronce);Gema wyvern pájaro;1;3.0
Kulu-Ya-Ku;HR;Investigación (Plata);Pluma de Kulu-Ya-Ku+;1;28.0
Kulu-Ya-Ku;HR;Investigación (Plata);Pico de Kulu-Ya-Ku+;1;23.0
Kulu-Ya-Ku;HR;Investigación (Plata);Piel de Kulu-Ya-Ku+;2;20.0
Kulu-Ya-Ku;HR;Investigación (Plata);Escama de Kulu-Ya-Ku+;2;18.0
Kulu-Ya-Ku;HR;Investigación (Plata);Gema wyvern pájaro;1;11.0
Kulu-Ya-Ku;HR;Investigación (Oro);Pluma de Kulu-Ya-Ku+;1;30.0
Kulu-Ya-Ku;HR;Investigación (Oro);Pico de Kulu-Ya-Ku+;1;24.0
Kulu-Ya-Ku;HR;Investigación (Oro);Gema wyvern pájaro;1;17.0
Kulu-Ya-Ku;HR;Investigación (Oro);Piel de Kulu-Ya-Ku+;3;16.0
Kulu-Ya-Ku;HR;Investigación (Oro);Escama de Kulu-Ya-Ku+;3;13.0
Kulu-Ya-Ku;MR;Quitar;Esquirla de Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;MR;Cotado / Captura;Esquirla de Kulu-Ya-Ku;1;34.0
Kulu-Ya-Ku;MR;Cotado / Captura;Piel gruesa de Kulu-Ya-Ku;1;27.0
Kulu-Ya-Ku;MR;Cotado / Captura;Gran pico Kulu-Ya-Ku;1;20.0
Kulu-Ya-Ku;MR;Cotado / Captura;Gran pluma Kulu-Ya-Ku;1;14.0
Kulu-Ya-Ku;MR;Cotado / Captura;Gema mística de wyvern;1;5.0
Kulu-Ya-Ku;MR;Romper: Cabeza;Gran pico Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;MR;Romper: Pata delantera;Gran pluma Kulu-Ya-Ku;1;100.0
Kulu-Ya-Ku;MR;Destello brillante;Esquirla de Kulu-Ya-Ku;1;50.0
Kulu-Ya-Ku;MR;Destello brillante;Gran pluma Kulu-Ya-Ku;1;28.0
Kulu-Ya-Ku;MR;Destello brillante;Lágrima de wyvern G;1;22.0
Kulu-Ya-Ku;MR;Camarada;Esquirla de Kulu-Ya-Ku;1;50.0
Kulu-Ya-Ku;MR;Camarada;Gran pluma Kulu-Ya-Ku;1;28.0
Kulu-Ya-Ku;MR;Camarada;Lágrima de wyvern G;1;22.0
Kulu-Ya-Ku;MR;Cortabolsas;Esquirla de Kulu-Ya-Ku;1;43.0
Kulu-Ya-Ku;MR;Cortabolsas;Piel gruesa de Kulu-Ya-Ku;1;33.0
Kulu-Ya-Ku;MR;Cortabolsas;Gran pluma Kulu-Ya-Ku;1;22.0
Kulu-Ya-Ku;MR;Cortabolsas;Gema mística de wyvern;1;2.0
Kulu-Ya-Ku;MR;Manto de bandido ;Escama bonita;1;70.0
Kulu-Ya-Ku;MR;Manto de bandido ;Escama lustrosa;1;30.0
Kulu-Ya-Ku;MR;Investigación (Bronce);Piel gruesa de Kulu-Ya-Ku;1;32.0
Kulu-Ya-Ku;MR;Investigación (Bronce);Esquirla de Kulu-Ya-Ku;1;21.0
