nombre;descripcion
Electrobicho;Insecto que desprende electricidad al golpearlo. Parte esencial de las trampas eléctricas y munición rayo.
Insecto goloso;Insecto utilizado como cebo de pesca. A los peces les encanta. Casi no llega ni a tocar la superficie del agua.
Cuerno de Kelbi;Si bien no es útil para crear equipo, el cuerno de Kelbi es una parte esencial para crear muchos objetos.
Extracto de poder;Sustancia misteriosa sacada de ciertos monstruos que aumenta la resistencia.
Extracto nutritivo;Obtenido a partir de ciertos monstruos grandes. Es capaz de aumentar el efecto de ciertas medicinas.
Vesícula lanzagritos;Órgano interno de un monstruo. Al romperlo emite un sonido agudo. Con él se fabrican cápsulas chillonas.
Catalizador;Se mezcla con materiales para mejorar el efecto. No se puede usar solo.
Bola tranquilizante;Para dominar y capturar a monstruos que han caído en trampas. Lánzala contra el suelo.
Cápsula flash;Munición de eslinga que brilla con fuerza al impactar. Si da en la nariz de un monstruo, lo cegarás.
Cápsula chillona;Munición de eslinga que emite un áspero sonido de alta frecuencia y detiene a monstruos sensibles.
Cápsula boñiga;Munición de eslinga que al impactar emite un olor penetrante. Repele a ciertos tipos de monstruos.
Bola de humo;Crea una gran nube de humo en la zona donde cae.
Bola de humo venenoso;Libera una nube tóxica. Se usa a menudo como insecticida.
Bola transportadora;Llama a un dracoalado con el que viajar al campamento más cercano. Se puede utilizar en mitad de un combate.
Carne cruda;Carne obtenida al despiezar a un monstruo. Tiene diversos usos.
Carne envenenada;Carne cruda que envenena a quien se la come. Es un buen cebo para las trampas.
Carne tóxica;Carne cruda que paraliza a quien se la come. Es un buen cebo para las trampas.
Carne somnífera;Carne cruda somnífera. Se usa como cebo en trampas.
Pólvora;Peligrosa sustancia que explota al golpearla o calentarla.
Barril pequeño;Barril pequeño vacío.
Bomba de barril;Una bomba de relojería pequeña.
Bomba de rebote;Se eleva al activarse. Para usar esta bomba modificada hay que ser un poco hábil.
Mega bomba de rebote;Versión mejorada de la bomba de rebote. Requiere cierta habilidad.
Barril grande;Barril grande vacío. Puedes hacer una bomba con él combinándolo con pólvora.
Bomba de barril grande;Potente bomba que se activa con un impacto físico externo.
Megabomba de barril;Bomba de barril grande mejorada. Eficaz contra monstruos grandes.
Telaraña;Una tela de araña muy pegajosa. Se usa para hacer trampas de escollo.
Red;Potente red capaz de soportar un peso considerable. Perfecta para trampas de escollo.
Herramientas para trampas;Herramienta necesaria para colocar la trampa de escollo u otras trampas.
Trampa de escollo;Trampa para cazar ciertos monstruos grandes. Se acciona con un gran peso.
Trampa eléctrica;Trampa que inmoviliza al objetivo. Úsala para capturar monstruos.
Boñiga enrollada;Boñiga de monstruo prensada. Sirve para crear cápsulas boñiga para la eslinga.
Boñiga;Exhala un olor espantoso. Sirve para crear cápsulas boñiga para la eslinga.
Cebo de arrowana;Un trozo de cebo muy del agrado de los peces del tipo arrowana.
Cebo de pez pólvora;Un trozo de cebo muy del agrado de los peces del tipo pez pólvora.
Cebo de pez dorado;Un trozo de cebo muy del agrado de los peces del tipo pez dorado.
Bumerán;Arma increíblemente afilada traída del extranjero, que vuelve al portador tras ser lanzada.
Prismáticos;Te permite observar desde lejos.
Amuleto de poder;Amuleto que mejora el poder de ataque. Otorga la fuerza de un demonio.
Garra de poder;Amuleto que refuerza los ataques. Su efecto se amplía por las partes de dragón que lleva.
Amuleto armadura;Amuleto que aumenta la defensa. Solo con llevarlo contigo, tu piel se endurece como una piedra.
Garra armadura;Amuleto que refuerza la defensa. Su efecto se amplía por las partes de dragón que lleva.
Baya aguja;Fruto con espinas como agujas. Sirve para hacer munición de abanico.
Nuez pegajosa;Nuez que crea munición explosiva.
Nuez dragoniana;Nuez que estalla al impactar. Con ella se hace la munición disparo de wyvern.
Rajabaya;Sirve para hacer munición cortante.
Baya adherente;Fruto con un surco en espiral. Sirve para hacer munición perforante.
Baya bomba;Nuez que se rompe al impactar. Se usa para bombas de racimo.
Flamanuez;Sirve para hacer pólvora que aumenta la potencia de la munición.
Ardenuez;Sirve para hacer pólvora que aumenta mucho la potencia de la munición.
Pólvora nivel 2;Polvo inflamable. Combínala con munición de nivel 1 para aumentar su nivel.
Pólvora nivel 3;Polvo muy inflamable. Combínala con munición de nivel 1 para aumentar su nivel.
Fuegos primaverales;Fuegos artificiales dados por asistir al festival de flores de primavera. ¡Ilumina el cielo y diviértete!
Fuegos de la puesta de sol;Fuegos artificiales dados por asistir al festival de puesta de sol de verano. ¡Ilumina el cielo y diviértete!
Fuegos de la cosecha;Fuegos artificiales dados por asistir al festival de cosecha de otoño. ¡Ilumina el cielo y diviértete!
Fuegos artificiales estrella;Fuegos artificiales dados por asistir al festival estrella de invierno. ¡Ilumina el cielo y diviértete!
Fuegos de gratitud;Fuegos artificiales dados por asistir al festival de gratitud. ¡Ilumina el cielo y diviértete!
Frasco vacío;Un viejo frasco vacío normal. Nada más y nada menos.
Aleta de caballa cuchillo;Aleta de pescado útil para afilar armas. Restaura bien el afilado, pero tiene menos usos que una piedra de afilar.
Aleta de caballa cuchillo+;Aleta de pescado útil para afilar armas. Funciona mejor que una piedra de afilar, y si tienes suerte puedes reutilizarla.
Escama de pez sushi;Una escama de pez sushi. Cómetela para recuperar un poco de salud o para tratar sangrados.
Escama de pez sushi real;Escama de un pez sushi real. Cómelo para recuperar salud, curarte más rápido y tratar sangrados.
Escama de pez pólvora;Escamas de un pez pólvora. Combinadas con una bomba de barril grande mejorarás mucho su potencia.
Escama de pez pólvora real;Escamas de un pez pólvora real. Combinadas con una bomba de barril grande crean una megabomba de barril.
Escama de arrowana reventona;Escamas de una arrowana reventona. Combínalas con hierba de fuego para crear pólvora de nivel 2.
Escama arrowana reventona real;Escamas de arrowana reventona real. Combínalas con hierba de fuego para crear un montón de pólvora de nivel 2.
Escama de arrowana bomba;Escamas de una arrowana bomba. Combínalas con hierba de fuego para crear pólvora de nv. 3.
Escama de arrowana bomba real;Escamas de una arrowana bomba real. Combínalas con hierba de fuego para crear un montón de pólvora de nv. 3.
Hierro;Un fragmento de mineral que puedes fundir y usar para distintos fines.
Machalita;Un mineral más escaso que el hierro, y del que se produce un metal muy superior.
Dragonita;Una roca de metal de mejores propiedades que la machalita. Valiosa en armaduras duraderas.
Carbalita;Mineral obtenido de afloramientos. Aún se halla bajo investigación, pero parece ser un metal purísimo.
Fucium;Mineral del Lecho de los Ancianos. Un metal misterioso capaz de soldar casi cualquier tipo de material.
Eltalita;Mineral esencial obtenido de afloramientos mineros. Mejora a un metal más fuerte que la carbalita.
Flexidur;Un material común en el Valle Putrefacto. Maleable pero resistente. Perfecto para crear aleaciones.
Cristal de tierra;Microbios cristalizados que se usan como abrasivo en la forja de armas. Se encuentran en el Yermo de Agujas.
Cristal coralino;Valioso cristal usado en la forja para crear potentes abrasivos. Hallado en los Altiplanos Coralinos.
Cristal de dracovena;Extraído de zonas de rango alto. Muchos creen que este nuevo cristal marcará una nueva era de forja.
Cristal de vena espiritual;Extraído de zonas de rango maestro. Poco se conoce sobre este cristal, excepto su sofisticado brillo.
Cristal reluciente;Un material precioso, extremadamente duro y con un fulgor tenue. A veces se utiliza para crear herramientas.
Novacristal;Cristal reluciente de alta calidad. Su rareza lo hace muy cotizado, y sólo se usa en artesanías refinadas.
Cristal puro;Cristal reluciente muy raro. Usado para crear herramientas debido a su increíble dureza.
Piedra de lava;Sedimento de aspecto similar al magma. Solo los más expertos saben cómo usarlo en armaduras de primera.
Baticita;Mineral de los Altiplanos Coralinos. Formado por milenios de presión sobre huesos de viejos organismos.
Gracio;Mineral del Arroyo de Escarcha. Al darle la luz solar, este metal raro adquiere un tono azulado. Muy útil.
Oceanita;Mineral valioso con el que se crean ciguas. Emite un brillo parpadeante similar al de la superficie del mar.
Solitrabita;Mineral valioso con el que se crean ciguas. Emite un brillo cálido.
Sanguinita;Mineral valioso con el que se crean ciguas. Emite un brillo encendido que recuerda al de una hoguera.
Lazurita;Mineral valioso con el que se crean ciguas. Emite un brillo misterioso que da al portador sabiduría milenaria.
Espectrita;Mineral valioso con el que se crean ciguas. Su brillo de otro mundo es muestra del poder que contiene.
Oscurita;Mineral valioso con el que se crean ciguas. De algún modo, su brillo atenúa la luz de su alrededor.
Hueso recio;Hueso usado para elaborar equipo. Hallado en pilas de huesos del Valle Putrefacto y los Altiplanos Coralinos.
Hueso escogido;Hueso usado para elaborar equipo. De fácil uso, su dureza anima a convertirlo en equipo de calidad.
Hueso grueso;Hueso muy raro usado como material de combinaciones. Duro de trabajar, proporciona resultados sin igual.
Hueso antiguo;Hueso útil como material. Se halla en el Bosque Primigenio. Su tamaño evoca algo primitivo.
Hueso fósil;Hueso útil como material. Se halla en el Yermo de Agujas. Su tamaño evoca algo primitivo.
Hueso de coral;Hueso útil como material. Se halla en los Altiplanos Coralinos. Su tamaño evoca algo primitivo.
Hueso deforme;Hueso útil como material. Se halla en el Valle Putrefacto. Su tamaño evoca algo primitivo.
Hueso brutal;Hueso útil como material. Se halla en el Lecho de los Ancianos. Su tamaño evoca algo primitivo.
Cráneo desconocido;Raro material encontrado en las pilas de huesos del Lecho de los Ancianos. Parece algún tipo de cráneo animal.
Hueso congelado;Se halla en pilas de huesos en el Arroyo de Escarcha. Moldeado durante años por el despiadado frío ártico.
Reliquia de dracohueso;Material de alta calidad encontrado en pilas de huesos. Los únicos restos de una especie de dragón ya extinta.
Artefacto de dracohueso;Hueso muy raro encontrado en pilas. La prueba de que en algún momento un dragón anciano gobernaba el lugar.
Esfera armadura;Reacciona al calor de forma única. Si se funde con una pieza de armadura puedes mejorarla ligeramente.
Esfera armadura+;Reacciona al calor de forma única. Funde esta esfera con una pieza de armadura para mejorarla un poco.
Esfera armadura avanz.;Reacciona al calor de forma única. Si se funde con una pieza de armadura puedes mejorarla.
Esfera armadura dura;Reacciona al calor de forma única. Si se funde con una pieza de armadura puedes mejorarla mucho.
Esfera armadura pesada;Reacciona al calor de forma única. Si se funde con una pieza de equipo puedes mejorarla mucho.
Esfera armadura regia;Reacciona al calor de forma única. Si se funde con una pieza de armadura puedes mejorarla mucho.
Esfera armadura pura;Reacciona al calor de forma única. Si se funde con una pieza de armadura puedes mejorarla extremadamente.
Esquirla de dracolucia;Contiene un poco de energía de la tierra. Puede desvelar poderes ocultos combinada con materiales especiales.
Dracolucia;Contiene energía de la tierra. Puede desvelar poderes ocultos combinada con materiales especiales.
Dracolucia grande;Contiene energía de la tierra. Puede desvelar poderes ocultos combinada con materiales especiales.
Dracolucia rígida;Contiene mucha energía de la tierra. Puede desvelar poderes ocultos combinada con materiales especiales.
Dracolucia pura;Contiene muchísima energía de la tierra. Puede desvelar poderes ocultos combinada con materiales especiales.
Gran mosca cornuda;Descubierta en el laboratorio botánico. Un insecto con un gran cuerno, grueso caparazón y alas como una mariposa.
Tela siniestra;Extraño trozo de tela encontrado por los buscatrufos quién sabe dónde. Rezuma un aura de maldad pura.
Metal ancestral;Resto metálico que encontraron los Buscatrufos en una comitiva de rango maestro. Puede servir para... ¿algo?
Esquirla de dracovena;Carbón especial con la energía de la tierra dentro. Incluso esos restos dan un buen combustible.
Carbón de dracovena;Carbón especial con la energía de la tierra dentro. Buen combustible para la nueva base de la comisión.
Pieza de carbón de dracovena;Carbón especial con la energía de la tierra dentro. Un depósito como este abastecería a una base durante días.
Carbón de dracovena gigante;Carbón especial con la energía de la tierra dentro. Bastante grande. ¡El combustible ideal para el día a día!
Hueso monstruo pequeño;Material hallado comúnmente entre pilas de huesos, necesario tanto para la caza como para la vida cotidiana.
Hueso monstruo mediano;Hueso obtenido de monstruos grandes. Fuerte, pero flexible y tan fiable como el acero o la madera.
Hueso monstruo grande;Para crear objetos grandes. Quizás con algún otro objeto puedas unirlo a un caparazón.
Hueso de monstruo+;Hueso obtenido de un gran monstruo. Difícil de obtener, pero clave para crear equipo potente.
Hueso afilado;Hueso de un monstruo enorme de rango alto. Su punta afilada conserva su fortaleza incluso tras trabajarla.
Hueso escudo;Hueso valioso y poco común de wyverns grandes. Difícil de trabajar, pero muy fuerte.
Hueso ultraduro;Hueso obtenido de monstruos de rango maestro. Emite un aura de potencial casi ilimitado.
Hueso aplastante;Hueso obtenido de monstruos de rango maestro. Mucho más pesado de lo que parece a primera vista.
Hueso sólido;Hueso obtenido de un monstruo de rango maestro. Muy sólido, capaz de soportar cualquier impacto.
Hueso de dragón anciano;Un gigantesco hueso que conserva la majestad del dragón anciano al que perteneció.
Gran hueso de dragón anciano;Material de dragones ancianos de rango maestro. Austero y salvaje por igual, el tiempo no le afecta.
Garra afilada;Se obtiene de pequeños wyverns de colmillos. Ideal para sujetar objetos, al contrario que las garras de wyvern.
Garra perforante;Material de wyverns de rango alto con colmillos pequeños. Tan afilada que serviría como cuchillo improvisado.
Garra dura;Material de pequeños wyverns de colmillos de rango maestro. Tan afilado y sólido que puede usarse como arma.
Fluido de monstruo;Material obtenido a partir de pequeños insectos. Mezclado con sus jugos gástricos forma pegamento.
Caldo de monstruo;Material de insectos de alta calidad. Un caldo hecho con los fluidos corporales de monstruo más espesos.
Esencia de monstruo;Material obtenido de insectos de rango maestro pequeños. No hay nada más pegajoso ni viscoso.
Vesícula de veneno;Órgano de monstruo repleto de veneno. Extrema la precaución con él.
Vesícula tóxica;Órgano de monstruo repleto de letales toxinas. Corres un riesgo solo con tocarlo.
Vesícula de veneno mortal;Órgano de monstruo repleto de veneno muy tóxico. Debe manipularse con muchísimo cuidado.
Vesícula paralizante;Órgano interno de un monstruo relleno de una neurotoxina paralizante.
Vesícula neural;Órgano de monstruo lleno de potentes neurotoxinas. Si lo tocas, te puede paralizar.
Vesícula concentrada;Órgano interno de un monstruo que contiene una altísima concentración de neurotoxinas. Es imprescindible manipularlo con cuidado.
Vesícula somnífera;Órgano interno de un monstruo relleno de un polvo que provoca somnolencia.
Vesícula de coma;Órgano interno de un monstruo lleno de un polvo que induce el coma.
Vesícula de letargo;Órgano interno de un monstruo con un agente somnífero capaz de noquear en el acto hasta a un monstruo rabioso.
Vesícula flamígera;Órgano interno de un monstruo. Contiene un polvo muy inflamable.
Vesícula infernal;Órgano interno de un monstruo lleno de un polvo que arde con solo tocarlo.
Vesícula explosiva;Órgano interno de monstruo relleno de un polvo muy explosivo y volátil. Extremadamente peligroso.
Vesícula acuosa;Órgano de monstruo encargado de almacenar agua.
Vesícula torrencial;Órgano de monstruo encargado de almacenar cantidades ingentes de agua.
Vesícula lago;Órgano de monstruo encargado de almacenar ingentes cantidades de agua.
Vesícula de nieve;Órgano interno de monstruo lleno de un fluido muy frío. Debe manejarse con mucha precaución.
Vesícula congelante;Órgano de monstruo con increíble poder congelante. Congela todo alrededor.
Vesícula gélida;Órgano de monstruo relleno de un potente agente congelante. Cubre de hielo una gran área al momento.
Vesícula eléctrica;Órgano de monstruo capaz de almacenar electricidad y descargarla al impactar.
Vesícula de rayo;Órgano de monstruo capaz de almacenar electricidad de alto voltaje.
Vesícula relámpago;Órgano de monstruo que puede almacenar electricidad con la fuerza de un rayo. Retumba como un trueno.
Gema wyvern pájaro;Gema valiosa que se extrae de wyverns pájaro. Se dice que tiene buen precio de venta.
Gema mística de wyvern;Una gema excepcional y pura obtenida de un wyvern pájaro. Su fragilidad la hace casi imposible de cortar.
Gema de wyvern;Las impurezas acumuladas a lo largo de la vida de los wyverns forman esta piedra.
Gran gema de wyvern;Gema de wyvern que ha crecido con los años. Emite un brillo cautivador.
Sangre de dragón anciano;Contiene un compuesto desconocido. Objeto de estudios académicos.
Sangre pura de dragón;Sangre de dragón anciano que contiene una mezcla más potente de su ingrediente misterioso.
Gran gema de dragón anciano;Piedra gigante ultrarrara que se forma en el interior de un dragón anciano una vez por milenio.
Piel de Musgorrino;Piel de Musgorrino. Está cubierta de musgo.
Piel cálida;Piel de un animal pequeño. Tiene diversos usos, aunque el principal es hacer ropa.
Piel de alta calidad;Rara piel de un pequeño animal. Muy agradable al tacto y apreciada por la comisión.
Piel valiosa;Un material muy pequeño y valioso. Se obtiene cortándolo de monstruos. Muy resistente, se usa para equipo.
Cuerno de Anteka;Material muy raro de Anteka, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Caparazón de Vespoid;Material de Vespoid, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Coraza de Vespoid;Raro material de Vespoid, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Ala de Vespoid;Material de Vespoid, obtenido cortándolo tras abatir a uno. Ligero y afilado, útil para armas.
Ala interior de Vespoid;Raro material de Vespoid, obtenido cortándolo tras abatir a uno. Ligero y afilado, útil para armas.
Ala cuchilla de Vespoid;Material muy raro de Vespoid, obtenido cortándolo tras abatirlo. Ligero y afilado, útil para armas.
Caparazón de Hornetaur;Material de Hornetaur, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Coraza de Hornetaur;Raro material de Hornetaur, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Ala de Hornetaur;Material de Hornetaur, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Intraala de Hornetaur;Raro material de Hornetaur. Obtenido cortando al monstruo. Afilado y útil para crear armas.
Ala cuchilla de Hornetaur;Material muy raro de Hornetaur. Obtenido cortando al monstruo. Afilado y útil para crear armas.
Cabeza de Hornetaur;Material de Hornetaur, obtenido cortándolo tras abatir a uno. Raro, para equipo muy selecto.
Piel de Gajau;Material de Gajau, obtenido cortándolo tras abatir a uno. Resistente al agua.
Escama de Gajau;Raro material de Gajau, obtenido cortándolo tras abatir a uno. Resistente al agua.
Piel gruesa de Gajau;Material muy raro de Gajau, obtenido cortándolo tras abatirlo. Resistente al agua, útil para crear equipo.
Bigote de Gajau;Material de Gajau, obtenido cortándolo tras abatir a uno. Robusto, parte de muchas armas.
Gran bigote de Gajau;Raro material de Gajau, obtenido cortándolo tras abatir a uno. Robusto, parte de muchas armas.
Bigote de Gajau acerado;Material muy raro de Gajau, obtenido cortándolo tras abatirlo. Robusto, útil para crear equipo.
Piel de dracoalado;Material obtenido de un dracoalado. Ligero y usado a menudo para elaborar armaduras.
Piel de dracoalado+;Raro material obtenido de un dracoalado. Ligero y usado a menudo para elaborar armaduras.
Piel especial de dracoalado;Material muy raro obtenido de un dracoalado. Ligero y usado a menudo para elaborar equipo.
Piel de Barnos+;Raro material de Barnos, obtenido cortándolo tras abatir a uno. Flexible, muy práctico para equipo.
Garra de Barnos;Raro material de Barnos, obtenido cortándolo tras abatir a uno. Raro, para equipo muy selecto.
Garra dura de Barnos;Material muy raro de Barnos obtenido cortándolo tras abatirlo. Raro, para equipo muy selecto.
Garra dura de Kertos;Material muy raro de Kertos, obtenido cortándolo tras abatirlo. Escaso, pero útil para crear equipo.
Caparazón de Kestodon;Material de Kestodon, obtenido cortándolo tras abatir a uno. Robusto, se usa para crear equipo.
Coraza de Kestodon;Material de Kestodon de calidad superior. Muy usado para crear armaduras.
Cascarón de Kestodon;Material muy raro de Kestodon, obtenido cortándolo tras abatirlo. Robusto, se usa para crear equipo.
Crin de Kestodon;Material de Kestodon, obtenido cortándolo tras abatir a uno. Atípico, pero útil para crear equipo.
Coraza de Gastodon;Raro material de Gastodon, obtenido cortándolo tras abatirlo. Robusto, se usa para crear equipo.
Cascarón de Gastodon;Material muy raro de Gastodon, obtenido cortándolo tras abatirlo. Robusto, se usa para crear equipo.
Cuerno de Gastodon;Raro material de Gastodon, obtenido cortándolo tras abatirlo. Raro, útil para crear equipo.
Escama de Jagras;Material de Jagras, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Escama de Jagras+;Raro material de Jagras, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Esquirla de Jagras;Material muy raro de Jagras, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Piel de Jagras;Material de Jagras, obtenido cortándolo tras abatir a uno. Flexible, muy práctico para equipo.
Piel de Jagras+;Raro material de Jagras, obtenido cortándolo tras abatir a uno. Flexible, muy práctico para equipo.
Escama de Shamos;Material de Shamos, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Escama de Shamos+;Raro material de Shamos, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Esquirla de Shamos;Material muy raro de Shamos, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Piel de Shamos;Material de Shamos, obtenido cortándolo tras abatir a uno. Flexible, muy práctico para equipo.
Piel de Shamos+;Raro material de Shamos, obtenido cortándolo tras abatirlo. Flexible, muy práctico para equipo.
Escama de Girros;Material de Girros, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Escama de Girros+;Raro material de Girros, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Esquirla de Girros;Material muy raro de Girros, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Piel de Girros;Material de Girros, obtenido cortándolo tras abatir a uno. Flexible, muy práctico para equipo.
Piel de Girros+;Raro material de Girros, obtenido cortándolo tras abatirlo. Flexible, muy práctico para equipo.
Colmillo de Girros;Material de Girros, obtenido cortándolo tras abatir a uno. Con propiedades paralizantes.
Pelaje de Wulg;Material muy raro de Wulg, obtenido cortándolo tras abatir a uno. Tiene muchas propiedades.
Escama de Gran Jagras;Material de Gran Jagras. Obtenido sobre todo cortando al monstruo tras abatirlo. Tiene usos muy diversos.
Escama de Gran Jagras+;Raro material de Gran Jagras. Obtenido sobre todo cortando al monstruo tras abatirlo. Tiene usos muy diversos.
Esquirla de Gran Jagras;Material muy raro de Gran Jagras. Obtenido sobre todo cortándolo tras abatirlo. Tiene diversos usos.
Piel de Gran Jagras;Material de Gran Jagras, recibido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel de Gran Jagras+;Raro material de Gran Jagras, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel gruesa de Gran Jagras;Material muy raro de Gran Jagras, recibido sobre todo como recompensa. Flexible, muy práctico para equipo.
Garra de Gran Jagras;Material de Gran Jagras, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Garra de Gran Jagras+;Raro material de Gran Jagras, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Garra dura de Gran Jagras;Material muy raro de Gran Jagras, obtenido de las patas delanteras. Afilado y útil para crear armas.
Melena de Gran Jagras;Material de Gran Jagras, obtenido al romperle el cráneo. Tiene muchas propiedades.
Melena de Gran Jagras+;Material muy raro de Gran Jagras, obtenido al romperle el cráneo. Tiene muchas propiedades.
Escama de Kulu-Ya-Ku;Material de Kulu-Ya-Ku. Obtenido sobre todo como recompensa, tiene usos muy diversos.
Escama de Kulu-Ya-Ku+;Raro material de Kulu-Ya-Ku. Obtenido sobre todo cortando al monstruo tras abatirlo. Tiene usos muy diversos.
Esquirla de Kulu-Ya-Ku;Material muy raro de Kulu-Ya-Ku. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Kulu-Ya-Ku;Material de Kulu-Ya-Ku, obtenido sobre todo cortando al monstruo. Flexible, muy práctico para equipo.
Piel de Kulu-Ya-Ku+;Raro material de Kulu-Ya-Ku, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel gruesa de Kulu-Ya-Ku;Material muy raro de Kulu-Ya-Ku, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Pluma de Kulu-Ya-Ku;Material de Kulu-Ya-Ku, obtenido al romperle las patas delanteras. Tiene muchas propiedades.
Pluma de Kulu-Ya-Ku+;Raro material de Kulu-Ya-Ku, obtenido al romperle las patas delanteras. Tiene muchas propiedades.
Gran pluma Kulu-Ya-Ku;Material muy raro de Kulu-Ya-Ku, obtenido al romperle las patas delanteras. Tiene varios usos.
